Quality	Count	sample
15	17.0	BC7_run2
16	78.0	BC7_run2
17	128.0	BC7_run2
18	204.0	BC7_run2
19	356.0	BC7_run2
20	718.0	BC7_run2
21	1205.0	BC7_run2
22	1364.0	BC7_run2
23	1887.0	BC7_run2
24	2758.0	BC7_run2
25	3785.0	BC7_run2
26	4572.0	BC7_run2
27	5246.0	BC7_run2
28	5419.0	BC7_run2
29	5974.0	BC7_run2
30	7343.0	BC7_run2
31	9086.0	BC7_run2
32	13211.0	BC7_run2
33	12043.0	BC7_run2
34	13571.0	BC7_run2
35	18031.0	BC7_run2
36	27651.0	BC7_run2
37	56881.0	BC7_run2
38	269911.0	BC7_run2
39	6970689.0	BC7_run2
15	4.0	BC8_run3
16	65.0	BC8_run3
17	133.0	BC8_run3
18	290.0	BC8_run3
19	628.0	BC8_run3
20	1696.0	BC8_run3
21	2705.0	BC8_run3
22	3445.0	BC8_run3
23	4290.0	BC8_run3
24	5312.0	BC8_run3
25	6845.0	BC8_run3
26	8449.0	BC8_run3
27	10594.0	BC8_run3
28	13251.0	BC8_run3
29	16705.0	BC8_run3
30	20709.0	BC8_run3
31	25915.0	BC8_run3
32	32982.0	BC8_run3
33	42526.0	BC8_run3
34	57483.0	BC8_run3
35	83270.0	BC8_run3
36	137847.0	BC8_run3
37	300720.0	BC8_run3
38	1414883.0	BC8_run3
39	8227658.0	BC8_run3
15	4.0	BC10_run1
16	47.0	BC10_run1
17	83.0	BC10_run1
18	145.0	BC10_run1
19	314.0	BC10_run1
20	607.0	BC10_run1
21	950.0	BC10_run1
22	1236.0	BC10_run1
23	1857.0	BC10_run1
24	2958.0	BC10_run1
25	4042.0	BC10_run1
26	4927.0	BC10_run1
27	4966.0	BC10_run1
28	5466.0	BC10_run1
29	6359.0	BC10_run1
30	7235.0	BC10_run1
31	8267.0	BC10_run1
32	9951.0	BC10_run1
33	12374.0	BC10_run1
34	15843.0	BC10_run1
35	21499.0	BC10_run1
36	30882.0	BC10_run1
37	59079.0	BC10_run1
38	293893.0	BC10_run1
39	6803625.0	BC10_run1
4	1.0	BC15_run2
5	1.0	BC15_run2
6	0.0	BC15_run2
7	1.0	BC15_run2
8	1.0	BC15_run2
9	0.0	BC15_run2
10	0.0	BC15_run2
11	3.0	BC15_run2
12	2.0	BC15_run2
13	3.0	BC15_run2
14	5.0	BC15_run2
15	16.0	BC15_run2
16	115.0	BC15_run2
17	152.0	BC15_run2
18	228.0	BC15_run2
19	316.0	BC15_run2
20	481.0	BC15_run2
21	700.0	BC15_run2
22	986.0	BC15_run2
23	1419.0	BC15_run2
24	2080.0	BC15_run2
25	2568.0	BC15_run2
26	3165.0	BC15_run2
27	3418.0	BC15_run2
28	4047.0	BC15_run2
29	4679.0	BC15_run2
30	6283.0	BC15_run2
31	7746.0	BC15_run2
32	12121.0	BC15_run2
33	11173.0	BC15_run2
34	13666.0	BC15_run2
35	19010.0	BC15_run2
36	30588.0	BC15_run2
37	63498.0	BC15_run2
38	274201.0	BC15_run2
39	7361422.0	BC15_run2
15	1.0	BC11_run1
16	31.0	BC11_run1
17	63.0	BC11_run1
18	134.0	BC11_run1
19	231.0	BC11_run1
20	402.0	BC11_run1
21	615.0	BC11_run1
22	920.0	BC11_run1
23	1460.0	BC11_run1
24	2000.0	BC11_run1
25	2612.0	BC11_run1
26	2832.0	BC11_run1
27	3134.0	BC11_run1
28	3673.0	BC11_run1
29	4173.0	BC11_run1
30	4650.0	BC11_run1
31	5412.0	BC11_run1
32	6453.0	BC11_run1
33	7650.0	BC11_run1
34	9772.0	BC11_run1
35	13307.0	BC11_run1
36	18963.0	BC11_run1
37	37449.0	BC11_run1
38	198490.0	BC11_run1
39	4611849.0	BC11_run1
3	1.0	BC6_run2
4	0.0	BC6_run2
5	1.0	BC6_run2
6	2.0	BC6_run2
7	1.0	BC6_run2
8	1.0	BC6_run2
9	4.0	BC6_run2
10	0.0	BC6_run2
11	4.0	BC6_run2
12	4.0	BC6_run2
13	9.0	BC6_run2
14	13.0	BC6_run2
15	16.0	BC6_run2
16	90.0	BC6_run2
17	165.0	BC6_run2
18	334.0	BC6_run2
19	560.0	BC6_run2
20	616.0	BC6_run2
21	975.0	BC6_run2
22	1273.0	BC6_run2
23	1044.0	BC6_run2
24	1035.0	BC6_run2
25	1365.0	BC6_run2
26	1821.0	BC6_run2
27	2035.0	BC6_run2
28	2106.0	BC6_run2
29	2240.0	BC6_run2
30	2916.0	BC6_run2
31	3949.0	BC6_run2
32	5885.0	BC6_run2
