GC_Content	Count	sample
1	0.0	BC5_run1
2	1.0	BC5_run1
3	2.0	BC5_run1
4	2.0	BC5_run1
5	14.5	BC5_run1
6	27.5	BC5_run1
7	36.5	BC5_run1
8	44.0	BC5_run1
9	28.5	BC5_run1
10	25.0	BC5_run1
11	81.0	BC5_run1
12	153.5	BC5_run1
13	258.5	BC5_run1
14	436.5	BC5_run1
15	698.5	BC5_run1
16	814.5	BC5_run1
17	1167.5	BC5_run1
18	2239.5	BC5_run1
19	4772.5	BC5_run1
20	6898.5	BC5_run1
21	8606.0	BC5_run1
22	12925.5	BC5_run1
23	18466.5	BC5_run1
24	21772.5	BC5_run1
25	25575.5	BC5_run1
26	34156.5	BC5_run1
27	42290.0	BC5_run1
28	45716.0	BC5_run1
29	53081.5	BC5_run1
30	64008.5	BC5_run1
31	73081.5	BC5_run1
32	78198.5	BC5_run1
33	89069.0	BC5_run1
34	104983.5	BC5_run1
35	118945.0	BC5_run1
36	127796.5	BC5_run1
37	131985.0	BC5_run1
38	139707.0	BC5_run1
39	146019.0	BC5_run1
40	148264.0	BC5_run1
41	155695.5	BC5_run1
42	166834.5	BC5_run1
43	174568.0	BC5_run1
44	180656.0	BC5_run1
45	185851.0	BC5_run1
46	192158.0	BC5_run1
47	196293.0	BC5_run1
48	199715.0	BC5_run1
49	202574.0	BC5_run1
50	210444.0	BC5_run1
51	236582.5	BC5_run1
52	259038.0	BC5_run1
53	246067.5	BC5_run1
54	251718.0	BC5_run1
55	256074.0	BC5_run1
56	243833.5	BC5_run1
57	243671.5	BC5_run1
58	242053.5	BC5_run1
59	251129.5	BC5_run1
60	240195.5	BC5_run1
61	202047.0	BC5_run1
62	160713.0	BC5_run1
63	120101.0	BC5_run1
64	97305.5	BC5_run1
65	84359.0	BC5_run1
66	65153.5	BC5_run1
67	62679.5	BC5_run1
68	67561.0	BC5_run1
69	53737.5	BC5_run1
70	33309.0	BC5_run1
71	21585.0	BC5_run1
72	16374.0	BC5_run1
73	15092.5	BC5_run1
74	12145.0	BC5_run1
75	8731.5	BC5_run1
76	6981.0	BC5_run1
77	5492.0	BC5_run1
78	4599.0	BC5_run1
79	3817.5	BC5_run1
80	2700.0	BC5_run1
81	2081.0	BC5_run1
82	966.0	BC5_run1
83	476.0	BC5_run1
84	502.0	BC5_run1
85	335.0	BC5_run1
86	133.0	BC5_run1
87	49.5	BC5_run1
88	16.0	BC5_run1
89	11.5	BC5_run1
90	10.0	BC5_run1
91	4.5	BC5_run1
92	1.0	BC5_run1
93	1.5	BC5_run1
94	1.0	BC5_run1
