Length	Count	sample
56	8254.0	BC7_run2
58	14580.0	BC7_run2
60	8178.0	BC7_run2
62	9887.0	BC7_run2
64	13482.0	BC7_run2
66	19038.0	BC7_run2
68	67044.0	BC7_run2
70	160963.0	BC7_run2
72	457116.0	BC7_run2
74	6532892.0	BC7_run2
24	2642.0	BC8_run3
26	4788.0	BC8_run3
28	4221.0	BC8_run3
30	5440.0	BC8_run3
32	5651.0	BC8_run3
34	4950.0	BC8_run3
36	4936.0	BC8_run3
38	5775.0	BC8_run3
40	3566.0	BC8_run3
42	3700.0	BC8_run3
44	4155.0	BC8_run3
46	4556.0	BC8_run3
48	4302.0	BC8_run3
50	4513.0	BC8_run3
52	5215.0	BC8_run3
54	6025.0	BC8_run3
56	5756.0	BC8_run3
58	5910.0	BC8_run3
60	6589.0	BC8_run3
62	7529.0	BC8_run3
64	21438.0	BC8_run3
66	23072.0	BC8_run3
68	139550.0	BC8_run3
70	240549.0	BC8_run3
72	691827.0	BC8_run3
74	9201750.0	BC8_run3
24	5293.0	BC10_run1
26	8397.0	BC10_run1
28	7848.0	BC10_run1
30	7497.0	BC10_run1
32	8280.0	BC10_run1
34	6938.0	BC10_run1
36	7251.0	BC10_run1
38	7576.0	BC10_run1
40	4327.0	BC10_run1
42	4714.0	BC10_run1
44	6657.0	BC10_run1
46	8917.0	BC10_run1
48	5983.0	BC10_run1
50	6398.0	BC10_run1
52	8987.0	BC10_run1
54	8605.0	BC10_run1
56	8452.0	BC10_run1
58	10242.0	BC10_run1
60	9216.0	BC10_run1
62	9905.0	BC10_run1
64	17529.0	BC10_run1
66	19144.0	BC10_run1
68	89766.0	BC10_run1
70	156590.0	BC10_run1
72	459037.0	BC10_run1
74	6403060.0	BC10_run1
24	831.0	BC15_run2
26	2208.0	BC15_run2
28	2807.0	BC15_run2
30	3057.0	BC15_run2
32	4512.0	BC15_run2
34	7323.0	BC15_run2
36	8425.0	BC15_run2
38	11257.0	BC15_run2
40	12077.0	BC15_run2
42	14819.0	BC15_run2
44	20694.0	BC15_run2
46	23640.0	BC15_run2
48	26769.0	BC15_run2
50	36309.0	BC15_run2
52	49597.0	BC15_run2
54	40828.0	BC15_run2
56	45507.0	BC15_run2
58	61145.0	BC15_run2
60	51091.0	BC15_run2
62	59710.0	BC15_run2
64	75322.0	BC15_run2
66	83227.0	BC15_run2
68	157647.0	BC15_run2
70	235189.0	BC15_run2
72	543508.0	BC15_run2
74	6246596.0	BC15_run2
24	2167.0	BC11_run1
26	3672.0	BC11_run1
28	2696.0	BC11_run1
30	2380.0	BC11_run1
32	2385.0	BC11_run1
34	2319.0	BC11_run1
36	2356.0	BC11_run1
38	2894.0	BC11_run1
40	2155.0	BC11_run1
42	2138.0	BC11_run1
44	2507.0	BC11_run1
46	2969.0	BC11_run1
48	2440.0	BC11_run1
50	2620.0	BC11_run1
52	3206.0	BC11_run1
