Base	N-Count	sample
1	8.87033608816e-05	BC5_run3
2	0.00171493164371	BC5_run3
3	0.000946169182737	BC5_run3
4	0.00387338009183	BC5_run3
5	0.0764918648669	BC5_run3
6	0.00201060951332	BC5_run3
7	0.00357770222223	BC5_run3
8	0.00189233836547	BC5_run3
9	0.0107035388797	BC5_run3
10	0.00274980418733	BC5_run3
11	0.00848595485768	BC5_run3
12	0.0074215145271	BC5_run3
13	0.0281781009734	BC5_run3
14	0.0125367416713	BC5_run3
15	0.0117384114233	BC5_run3
16	0.0141334021671	BC5_run3
17	0.0128028517539	BC5_run3
18	0.012004521506	BC5_run3
19	0.00715540444445	BC5_run3
20	0.00901817502297	BC5_run3
21	0.00461257476585	BC5_run3
22	0.0116792758494	BC5_run3
23	0.00490825263545	BC5_run3
24	0.00150795713499	BC5_run3
25	0.00440560025712	BC5_run3
26	0.000118736007704	BC5_run3
27	0.0	BC5_run3
28	0.000566588795498	BC5_run3
29	0.0	BC5_run3
30	0.00188798495366	BC5_run3
31	0.00654554800649	BC5_run3
32	0.0116733542752	BC5_run3
33	0.0111235141141	BC5_run3
34	0.0019634318372	BC5_run3
35	0.00344919189065	BC5_run3
36	0.0024845917437	BC5_run3
37	0.0117146694976	BC5_run3
38	0.00534928717709	BC5_run3
39	0.00127894176704	BC5_run3
40	0.000152522818939	BC5_run3
41	0.00308362391146	BC5_run3
42	0.00168040371241	BC5_run3
43	0.0019261861026	BC5_run3
44	0.00208041603426	BC5_run3
45	0.00183717486598	BC5_run3
46	0.00622130499687	BC5_run3
47	0.000184068785278	BC5_run3
48	0.000737017211502	BC5_run3
49	0.000368832656935	BC5_run3
50	0.00526087478195	BC5_run3
51	0.00154015523533	BC5_run3
52	0.0040401784957	BC5_run3
53	0.00030918151614	BC5_run3
54	0.0	BC5_run3
55	0.0	BC5_run3
56	0.000186232570959	BC5_run3
57	0.000124345785735	BC5_run3
58	0.00139996198325	BC5_run3
59	0.0	BC5_run3
60	0.00152917796386	BC5_run3
61	0.00137423386462	BC5_run3
62	0.00559452973758	BC5_run3
63	0.00528620416447	BC5_run3
64	0.000375624946004	BC5_run3
65	0.00372889843013	BC5_run3
66	0.00467521677003	BC5_run3
67	0.00179036744622	BC5_run3
68	0.000660919187523	BC5_run3
69	0.00205290234596	BC5_run3
70	0.00445081405389	BC5_run3
71	0.0001919181354	BC5_run3
72	6.51581045116e-05	BC5_run3
73	0.000837040142353	BC5_run3
74	0.0	BC5_run3
75	0.0	BC5_run3
1	0.000179237893683	BC12_run3
2	0.0010942945088	BC12_run3
3	0.00081128730825	BC12_run3
4	0.00346212142009	BC12_run3
5	0.0792420161546	BC12_run3
6	0.00238669405799	BC12_run3
7	0.00352815643355	BC12_run3
8	0.00222632331101	BC12_run3
9	0.0117542323963	BC12_run3
10	0.00283950557887	BC12_run3
11	0.0100656227663	BC12_run3
12	0.00812230665585	BC12_run3
13	0.0273101948533	BC12_run3
14	0.013490009893	BC12_run3
15	0.0128296597584	BC12_run3
16	0.0147258080021	BC12_run3
17	0.0128390933317	BC12_run3
18	0.0135843456265	BC12_run3
19	0.00828267740283	BC12_run3
20	0.00900906255091	BC12_run3
21	0.00458471664895	BC12_run3
22	0.0126504218647	BC12_run3
23	0.00599031907835	BC12_run3
24	0.00132070026924	BC12_run3
25	0.00508469603659	BC12_run3
26	2.83093326811e-05	BC12_run3
27	0.0	BC12_run3
28	0.000557053199902	BC12_run3
29	0.0	BC12_run3
30	0.00204031010447	BC12_run3
31	0.006698696957	BC12_run3
32	0.0113703674614	BC12_run3
33	0.0108444713713	BC12_run3
34	0.00212803286061	BC12_run3
35	0.00469244965929	BC12_run3
36	0.00246993306008	BC12_run3
37	0.0113217274268	BC12_run3
38	0.00526466393548	BC12_run3
39	0.00146823154258	BC12_run3
40	0.000189501574853	BC12_run3
41	0.00371516898759	BC12_run3
42	0.00148828525177	BC12_run3
43	0.00192478928535	BC12_run3
44	0.00188733573066	BC12_run3
45	0.00177402708607	BC12_run3
46	0.00663336005024	BC12_run3
47	0.000398723552999	BC12_run3
48	0.00106360096351	BC12_run3
49	0.000522465990076	BC12_run3
50	0.00604348687908	BC12_run3
51	0.00172998063087	BC12_run3
52	0.00497297761932	BC12_run3
53	0.000361458756224	BC12_run3
54	0.0	BC12_run3
55	1.9040916645e-05	BC12_run3
56	0.000333372544294	BC12_run3
57	0.000266822999533	BC12_run3
58	0.00153489732061	BC12_run3
59	0.0	BC12_run3
60	0.0017082281437	BC12_run3
